-2.99172,0.458625,0.228098,2530
-2.91259,0.536519,0.234037,0
-2.92365,0.525311,0.23353,0
-2.91258,0.554287,0.237489,0
-2.98353,0.47729,0.225881,0
-3.01729,0.44384,0.223561,0
-2.94634,0.503049,0.231713,0
-2.88989,0.576352,0.239268,0
-2.87883,0.569793,0.236323,0
-2.9574,0.50951,0.23464,0
-2.87826,0.587306,0.24056,0
-2.98009,0.469677,0.229409,0
-2.90095,0.547572,0.235348,0
-2.9347,0.531771,0.236457,0
-2.92364,0.54298,0.236964,0
-2.99459,0.466081,0.225375,0
-3.00278,0.447377,0.227584,0
-3.01442,0.436334,0.226275,0
-2.93528,0.514258,0.23222,0
-2.90095,0.565241,0.238781,0
-2.98009,0.487249,0.232823,0
-2.96903,0.498458,0.233329,0
-2.87539,0.579653,0.243245,0
-2.95797,0.492095,0.230422,0
-2.96903,0.480886,0.229915,1680
-2.88989,0.558682,0.235835,0
-2.94634,0.520719,0.235146,0
-3.00565,0.454873,0.224868,0
-2.90153,0.32784,0.191819,0
-2.88703,0.322307,0.194079,0
-2.93586,0.361376,0.20168,0
-2.95855,0.401646,0.212013,0
-2.8754,0.311665,0.191175,0
-2.92423,0.350146,0.198661,0
-2.90153,0.34551,0.195252,0
-2.95855,0.383583,0.208503,0
-2.99287,0.41712,0.218365,0
-2.99287,0.435152,0.221868,858
-2.89809,0.333774,0.197979,0
-2.94692,0.372353,0.205484,0
-2.92422,0.368208,0.202171,0
-2.98124,0.405889,0.215346,0
-2.8899,0.316217,0.188724,0
-2.91317,0.357133,0.198348,0
-2.96961,0.394658,0.212326,0
-2.94749,0.390571,0.20819,0
-2.87827,0.305575,0.185819,0
-3.00393,0.428096,0.222169,0
-2.91259,0.339307,0.195718,0
-2.93586,0.379439,0.20519,0
-2.98124,0.423951,0.218855,810
-2.97018,0.412876,0.215032,813
-2.90711,0.53893,-0.237018,134000
-2.92179,0.524017,0.0939085,269000
-2.87832,0.568309,-0.45581,0
-2.90523,0.541134,-0.251612,152000
-2.86636,0.576726,-0.490063,2130
-2.95692,0.485586,0.177414,181000
-2.96855,0.474631,0.176123,224000
-2.8683,0.576984,0.0399286,116000
-2.95417,0.485388,0.00378859,101000
-2.94214,0.504447,-0.0993335,140000
-2.90107,0.543454,0.0567877,346000
-2.9018,0.543077,0.0734058,228000
-2.8881,0.555691,0.16682,0
-2.87732,0.56647,0.00700907,342000
-2.91226,0.533364,0.198373,0
-2.88884,0.555609,0.183495,0
-2.91009,0.534412,0.0241543,545000
-2.9114,0.533505,0.0398348,519000
-2.98209,0.462649,0.0653055,0
-2.95203,0.492339,0.0260025,396000
-2.93182,0.512501,-0.0827487,342000
-2.98528,0.457063,0.0950994,0
-2.86723,0.577508,-0.331346,241000
-2.88985,0.555195,0.0398721,333000
-2.8929,0.555166,-0.0711284,518000
-2.86943,0.576869,-0.281396,383000
-2.98936,0.45589,0.159967,31800
-2.9323,0.514044,-0.029872,835000
-2.99124,0.453185,0.174464,22700
-2.91266,0.534313,-0.139437,439000
-2.86228,0.57737,-0.555034,0
-2.86916,0.577005,-0.121136,356000
-2.88077,0.56688,-0.4419,0
-2.87909,0.566696,0.199835,0
-2.91879,0.526731,-0.0432661,805000
-2.93498,0.506702,0.0713521,337000
-2.96318,0.480087,-0.0281181,0
-2.97773,0.466648,0.161221,309000
-2.97961,0.463864,0.175702,249000
-2.91769,0.528612,-0.289928,0
-2.90573,0.535135,-0.324549,0
-2.93438,0.511732,0.197512,27700
-2.92332,0.52245,0.197923,11000
-2.86842,0.577185,-0.137792,316000
-2.8661,0.577426,-0.0100591,318000
-2.96103,0.484508,0.117953,370000
-2.96291,0.482186,0.132524,393000
-2.91357,0.533045,0.214167,0
-2.92569,0.51918,-0.179095,63300
-2.90491,0.539362,-0.287008,13400
-2.90176,0.543811,-0.121737,561000
-2.89972,0.546273,-0.153807,512000
-2.89786,0.545095,0.150576,12600
-2.87817,0.566589,-0.154036,406000
-2.88008,0.566837,-0.263314,270000
-2.89916,0.544875,0.16639,2490
-2.93466,0.512382,0.0374043,585000
-2.88442,0.558619,-0.235701,272000
-2.89371,0.554154,-0.427679,0
-2.91479,0.527019,-0.161717,236000
-2.90335,0.543779,-0.266121,167000
-2.91957,0.525604,-0.275491,0
-2.86884,0.581489,-0.599298,0
-2.94694,0.495468,0.105057,291000
